,-69
12986592,15,-83
12986593,15,-97
12986594,43,-76
12986595,43,-81
12986596,43,-83
12986597,43,-96
12986598,43,-91
12986599,80,-85
12986600,15,-68
12986601,15,-83
12986602,43,-79
12986603,43,-67
12986604,43,-94
12986605,43,-89
12986606,15,-81
12986607,15,-84
12986608,15,-82
12986609,43,-79
12986610,43,-98
12986611,43,-74
12986612,43,-88
12986613,43,-84
12986614,80,-98
12986615,80,-85
12986616,15,-69
12986617,15,-83
12986618,43,-76
12986619,43,-72
12986620,43,-69
12986621,80,-88
12986622,80,-81
12986623,15,-95
12986624,15,-63
12986625,15,-98
12986626,15,-79
12986627,43,-80
12986628,43,-98
12986629,43,-101
12986630,43,-93
12986631,80,-85
12986632,15,-81
12986633,15,-96
12986634,43,-73
12986635,43,-83
12986636,43,-99
12986637,43,-91
12986638,43,-87
12986639,80,-85
12986640,15,-95
12986641,15,-99
12986642,43,-74
12986643,43,-89
12986644,43,-76
12986645,43,-71
12986646,15,-94
12986647,15,-66
12986648,43,-85
12986649,43,-79
12986650,43,-83
12986651,43,-89
12986652,43,-89
12986653,80,-93
12986654,43,-74
12986655,43,-80
12986656,43,-81
12986657,80,-89
12986658,80,-86
12986659,15,-94
12986660,15,-77
12986661,15,-66
12986662,43,-94
12986663,43,-73
12986664,43,-98
12986665,43,-77
12986666,80,-95
12986667,15,-63
12986668,15,-79
12986669,43,-82
12986670,43,-90
12986671,43,-90
12986672,43,-80
12986673,43,-90
12986674,15,-82
12986675,15,-78
12986676,43,-72
12986677,43,-82
12986678,43,-85
12986679,43,-67
12986680,80,-87
12986681,80,-97
12986682,15,-70
12986683,15,-64
12986684,4
